1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: C6000000443D2F21
Is Mission Active?  true
Mission Start:  Thu Aug 03 13:13:00 MDT 2023
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  2477
Total Samples:  114774
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
8/3/23, 1:13:00 PM,C,26
8/3/23, 2:13:00 PM,C,25.5
8/3/23, 3:13:00 PM,C,26
8/3/23, 4:13:00 PM,C,28
8/3/23, 5:13:00 PM,C,22.5
8/3/23, 6:13:00 PM,C,22.5
8/3/23, 7:13:00 PM,C,22.5
8/3/23, 8:13:00 PM,C,25
8/3/23, 9:13:00 PM,C,25
8/3/23, 10:13:00 PM,C,25
8/3/23, 11:13:00 PM,C,24.5
8/4/23, 12:13:00 AM,C,24.5
8/4/23, 1:13:00 AM,C,24.5
8/4/23, 2:13:00 AM,C,24.5
8/4/23, 3:13:00 AM,C,24.5
8/4/23, 4:13:00 AM,C,24.5
8/4/23, 5:13:00 AM,C,21
8/4/23, 6:13:00 AM,C,20.5
8/4/23, 7:13:00 AM,C,19.5
8/4/23, 8:13:00 AM,C,19.5
8/4/23, 9:13:00 AM,C,20.5
8/4/23, 10:13:00 AM,C,23.5
8/4/23, 11:13:00 AM,C,15
8/4/23, 12:13:00 PM,C,13.5
8/4/23, 1:13:00 PM,C,13.5
8/4/23, 2:13:00 PM,C,14
8/4/23, 3:13:00 PM,C,14
8/4/23, 4:13:00 PM,C,14
8/4/23, 5:13:00 PM,C,14
8/4/23, 6:13:00 PM,C,14
8/4/23, 7:13:00 PM,C,13.5
8/4/23, 8:13:00 PM,C,12.5
8/4/23, 9:13:00 PM,C,11.5
8/4/23, 10:13:00 PM,C,10.5
8/4/23, 11:13:00 PM,C,10
8/5/23, 12:13:00 AM,C,9
8/5/23, 1:13:00 AM,C,8.5
8/5/23, 2:13:00 AM,C,8
8/5/23, 3:13:00 AM,C,8
8/5/23, 4:13:00 AM,C,7.5
8/5/23, 5:13:00 AM,C,7
8/5/23, 6:13:00 AM,C,6.5
8/5/23, 7:13:00 AM,C,6
8/5/23, 8:13:00 AM,C,7
8/5/23, 9:13:00 AM,C,8.5
8/5/23, 10:13:00 AM,C,11.5
8/5/23, 11:13:00 AM,C,11.5
8/5/23, 12:13:00 PM,C,13
8/5/23, 1:13:00 PM,C,13
8/5/23, 2:13:00 PM,C,14
8/5/23, 3:13:00 PM,C,14
8/5/23, 4:13:00 PM,C,14.5
8/5/23, 5:13:00 PM,C,13.5
8/5/23, 6:13:00 PM,C,12.5
8/5/23, 7:13:00 PM,C,12
8/5/23, 8:13:00 PM,C,10.5
8/5/23, 9:13:00 PM,C,10
8/5/23, 10:13:00 PM,C,9
8/5/23, 11:13:00 PM,C,9
8/6/23, 12:13:00 AM,C,8.5
8/6/23, 1:13:00 AM,C,8.5
8/6/23, 2:13:00 AM,C,8
8/6/23, 3:13:00 AM,C,8
8/6/23, 4:13:00 AM,C,7.5
8/6/23, 5:13:00 AM,C,7.5
8/6/23, 6:13:00 AM,C,7
8/6/23, 7:13:00 AM,C,7
8/6/23, 8:13:00 AM,C,7.5
8/6/23, 9:13:00 AM,C,8.5
8/6/23, 10:13:00 AM,C,11.5
8/6/23, 11:13:00 AM,C,15
8/6/23, 12:13:00 PM,C,13
8/6/23, 1:13:00 PM,C,12.5
8/6/23, 2:13:00 PM,C,12.5
8/6/23, 3:13:00 PM,C,13
8/6/23, 4:13:00 PM,C,12
8/6/23, 5:13:00 PM,C,11.5
8/6/23, 6:13:00 PM,C,11
8/6/23, 7:13:00 PM,C,10.5
8/6/23, 8:13:00 PM,C,10
8/6/23, 9:13:00 PM,C,9
8/6/23, 10:13:00 PM,C,8
8/6/23, 11:13:00 PM,C,7.5
8/7/23, 12:13:00 AM,C,7
8/7/23, 1:13:00 AM,C,7
8/7/23, 2:13:00 AM,C,7
8/7/23, 3:13:00 AM,C,6.5
8/7/23, 4:13:00 AM,C,6
8/7/23, 5:13:00 AM,C,6
8/7/23, 6:13:00 AM,C,5.5
8/7/23, 7:13:00 AM,C,5.5
8/7/23, 8:13:00 AM,C,6
8/7/23, 9:13:00 AM,C,8
8/7/23, 10:13:00 AM,C,10
8/7/23, 11:13:00 AM,C,12.5
