"#daily max and min temperature (degrees C) from SNOTEL stations Echo Lake and Jackwacker gulch from 2019 and 2023, for 5 August (doy=2017) to 14 October (doy=287)",,,,,,
Year,doy,Echo_max,Jack_max,Echo_min,Jack_min,
2019,217,20.5,19.6,7.5,6.2,
2019,218,19.6,19.6,7,6.7,
2019,219,21.2,22.1,6.9,5.7,
2019,220,21,19.6,8,7.3,
2019,221,15.9,18.4,7.4,6.6,
2019,222,19.8,19.4,6.5,6,
2019,223,15.6,17.5,8.1,7.7,
2019,224,14.9,13.2,8,6.5,
2019,225,19.1,18,7.3,5.2,
2019,226,19.1,18.9,5.9,4.8,
2019,227,19.5,19.5,5.2,4.3,
2019,228,20.3,20.1,9.7,6.2,
2019,229,22,20.1,8.1,6.2,
2019,230,20.4,18.3,7.8,5.9,
2019,231,21,21.1,8.8,5.3,
2019,232,22.4,22.8,8.1,7.1,
2019,233,21.1,20.7,7.5,7.4,
2019,234,18.5,21.7,5.9,5.6,
2019,235,20.5,18.5,4.1,3.9,
2019,236,18.2,18.8,5.8,5,
2019,237,18.9,19.2,5.6,3.6,
2019,238,20.5,21.2,11.9,10.6,
2019,239,20.2,19.7,4.7,4.9,
2019,240,15.4,19.5,3,3.4,
2019,241,20,20.4,3.1,2.3,
2019,242,18.5,19.9,8,6.1,
2019,243,19.3,19.3,7.1,4.9,
2019,244,21.1,21.3,7.1,5.1,
2019,245,23.1,22.6,9,5.8,
2019,246,23.6,23.6,9,7.8,
2019,247,19.2,21.9,8,7.2,
2019,248,20.8,20.6,8.2,5.7,
2019,249,21.5,21.1,8.3,6.8,
2019,250,20.1,20,7.1,6.3,
2019,251,17.8,17.1,6.8,6,
2019,252,16.6,18.7,4.4,4.9,
2019,253,16.9,15.6,4,4,
2019,254,18.1,18.2,3.4,2.9,
2019,255,17.7,16.9,3.6,2.2,
2019,256,13.3,12.1,1.2,0.4,
2019,257,18.1,17.3,0.1,-0.2,
2019,258,18.5,18.1,5.8,2.6,
2019,259,19.7,19.3,5.2,4,
2019,260,15.4,18.5,6,5.8,
2019,261,16.9,15.4,4.9,4.4,
2019,262,14.5,15.8,4.2,3.5,
2019,263,16.5,18.7,3.3,3.4,
2019,264,16.5,16.5,5.5,0.6,
2019,265,13.7,14.1,-0.4,-0.1,
2019,266,14.5,14.3,-0.6,-0.1,
2019,267,14.4,14.8,1.4,1.4,
2019,268,16.1,16.4,3,2.9,
2019,269,18.3,17.9,3.2,3.2,
2019,270,17.8,17.5,3.9,7.5,
2019,271,15.8,14.6,2.7,2.8,
2019,272,15.8,15,0.7,2.8,
2019,273,16.7,16.5,6.4,5.4,
2019,274,17.4,17.3,2.9,1.5,
2019,275,14.7,17,1.8,1.7,
2019,276,12.5,12.5,-2.6,-1.3,
2019,277,12.9,16.3,-1.9,-2.6,
2019,278,15.7,15.5,1.8,-0.1,
2019,279,11.4,11,-0.4,-0.6,
2019,280,8.7,9.1,-2.3,-1.5,
2019,281,14.1,14.6,-1.9,-1.5,
2019,282,14,13.7,2.8,0.2,
2019,283,14.4,14.4,-4.8,-1,
2019,284,-4.6,-0.7,-13.3,-12.7,
2019,285,1.5,1.3,-12.3,-13.8,
2019,286,8.7,7.7,0,-2.7,
2019,287,10.1,10.1,-1.7,-1,
2023,217,19.1,17.8,5.6,4.6,
2023,218,13.2,18,4.4,3.2,
2023,219,19.2,17.4,5.5,3,
2023,220,19.6,18.1,4.1,2.9,
2023,221,17.5,17.2,2.8,7,
2023,222,19.5,18.9,10.4,6,
2023,223,18.6,18.6,9.9,5.3,
2023,224,16.6,15.6,8,4.8,
2023,225,10.5,16.2,3.9,4.8,
2023,226,15.1,19.4,2.8,2.8,
2023,227,21.1,21.8,8.6,3.7,
2023,228,21.7,21.7,9.2,6.3,
2023,229,22.1,22.3,7.4,6.7,
2023,230,20.3,20.2,10.7,8.2,
2023,231,22.2,22.2,8.5,7.2,
2023,232,22.7,22.5,5.8,5.7,
2023,233,23.6,22.9,9.3,4.9,
2023,234,19.6,22.2,10,5.9,
2023,235,19.6,21.8,8.4,7,
2023,236,17.7,19.6,7.8,6.4,
2023,237,10,11,7.1,6.6,
2023,238,12.7,16.5,6.2,6.2,
2023,239,16.9,18.9,6.1,6.2,
2023,240,13.8,17.1,3.9,3.7,
2023,241,14.3,17.7,2.4,1.8,
2023,242,20.4,19,4.9,3.1,
2023,243,21.7,20.5,8.4,6.4,
2023,244,21.6,21.3,6.2,5.6,
2023,245,19.6,20.2,7.2,6.2,
2023,246,16.6,17.6,5.4,5.4,
2023,247,18.2,17.8,3.7,3.3,
2023,248,15.2,16.8,3.6,3.9,
2023,249,19.5,19,5.2,2.4,
2023,250,18.7,18.4,6.6,4.3,
2023,251,19.7,18.9,4.1,2.9,
2023,252,17.6,18.3,6.6,3.9,
2023,253,11.2,13.3,4,3.8,
2023,254,7.5,10.9,0.9,3.3,
2023,255,12.2,14.4,0.4,-0.1,
2023,256,14.1,13.8,0.6,1.2,
2023,257,9.1,11.8,1.1,1.2,
2023,258,4.8,6.9,0,-0.7,
2023,259,12,14.9,-1.7,-1,
2023,260,15.6,15,0.5,0.5,
2023,261,14.4,13.8,3.8,2.4,
2023,262,13.2,11.7,2.9,0.4,
2023,263,14.2,13,2.8,0.8,
2023,264,12.7,12.4,1.1,-0.4,
2023,265,14.3,14.5,-0.2,0.1,
2023,266,12.2,11.1,-0.6,0.9,
2023,267,13.6,13.9,0.7,-0.3,
2023,268,15,16.5,-0.7,-1,
2023,269,16,17.4,1.5,0.7,
2023,270,17.1,18.3,2.9,1.3,
2023,271,17.9,18.1,4.6,3.3,
2023,272,16.5,17.4,3.6,2,
2023,273,16.8,16.8,2,1,
2023,274,13.8,13.5,4,3.1,
2023,275,12.5,10.3,-1.3,-1.5,
2023,276,5.6,4.3,-1.7,-2.8,
2023,277,7.6,8.1,-1,-2.4,
2023,278,11.7,11.3,-1.2,0.4,
2023,279,4.2,13.2,-1.3,-1,
2023,280,12.1,14.4,-1,0.2,
2023,281,13.4,14.8,1.3,0.4,
2023,282,12.8,13.8,0.5,0.5,
2023,283,12.4,12.4,0.1,-0.9,
2023,284,11,9,-1.8,-2.4,
2023,285,2.4,-1,-3,-4.2,
2023,286,4.2,4.8,-5.9,-5.5,
2023,287,6.6,5.8,-5.5,-2.7,
