"# Male/female pairs of beetles were measured for size, inserted into uninfested bolts, and tracked for reproductive success",,,,,,
"# Columns: Site - field collection location, Colorado or Wyoming; Gallery_ID - unique identifier for each male/female pair; F_pronotal_width_mm - female pronotal width in mm; M_pronotal_width_mm - male pronotal width in mm; F_mass_mg - femaile mass in mg; M_mass_mg - male mass in mg; Gallery_successful - did the mating pair produce offspring, yes or no",,,,,,
Site,Gallery_ID,F_pronotal_width_mm,M_pronotal_width_mm,F_mass_mg,M_mass_mg,Gallery_successful
CO,CO1_1,2.3,2.2,11.2,10.5,N
CO,CO1_2,2.5,2.1,22.1,20.7,N
CO,CO1_3,2.7,2.7,17.5,19.2,N
CO,CO1_4,2.2,2.3,18.2,16.9,Y
CO,CO1_5,2.4,2.5,16.1,14.8,N
CO,CO1_6,2.5,2.4,17.8,17,Y
CO,CO1_7,2.3,2.2,15.3,15,N
CO,CO1_8,2.3,2.1,17,17,N
CO,CO1_9,2.3,2.4,18,17.2,Y
CO,CO3_1,2.4,2.4,17.3,21.6,N
CO,CO3_2,2.6,2.6,21.3,20.3,N
CO,CO3_3,2.5,2.5,24,13.8,N
CO,CO3_4,2.6,2.6,14.1,18.4,N
CO,CO3_5,2.7,2.7,17.5,17.9,N
CO,CO3_6,2.4,2.4,14.3,19.1,N
CO,CO3_7,2.5,2.5,16.8,16.3,N
CO,CO3_8,2.3,2.3,10.3,19.5,N
CO,CO3_9,2.5,2.5,16.6,14.8,N
CO,CO3_10,2.6,2.6,18.3,20.3,N
CO,CO5_1,2.43,2.61,17.1,18.3,Y
CO,CO5_2,2.34,2.43,17.2,16.4,Y
CO,CO5_3,2.34,2.43,14.3,18,N
CO,CO5_4,2.25,2.52,16.1,17.8,N
CO,CO5_5,2.43,2.52,17.8,18.9,N
CO,CO5_6,2.34,2.43,15.6,16.6,N
CO,CO5_7,2.43,2.52,17.9,16.7,Y
CO,CO5_8,2.43,2.43,14.5,15.8,Y
CO,CO5_9,2.16,2.43,13.4,16.3,N
CO,CO12_1,2.5,2.5,21.7,16.1,Y
CO,CO12_2,2.6,2.6,17.3,22.4,Y
CO,CO12_3,2.5,2.5,17.9,14.5,Y
CO,CO12_4,2.5,2.5,20.1,16.7,N
CO,CO12_5,2.3,2.3,12.7,16.1,N
CO,CO12_6,2.6,2.6,23.1,21.7,N
CO,CO12_7,2.5,2.5,19.9,17.7,N
CO,CO12_8,2.3,2.3,14.8,19.1,N
CO,CO14_1,2.4,2.3,17.8,14.9,N
CO,CO14_2,2.3,2.4,13.8,9.6,N
CO,CO14_3,2.3,2.5,13.8,18.7,N
CO,CO14_4,2.5,2.4,18.8,16.5,N
CO,CO14_5,2.4,2.5,12.9,18.1,N
CO,CO14_6,2.4,2.3,12.1,13.5,N
CO,CO14_7,2.3,2.5,13.8,21,N
CO,CO14_8,2.5,2.1,19.5,11.5,N
CO,CO14_9,2.4,2.5,18.1,17.2,N
WY,WY2_1,2.4,2.5,22.4,15.1,N
WY,WY2_2,2.7,2.7,16.2,24.2,N
WY,WY2_3,2.5,2.4,18,14.8,N
WY,WY2_4,2.5,2.3,19.3,18,N
WY,WY2_5,2.4,2.5,18,16.9,Y
WY,WY2_6,2.6,2.7,22,17.6,N
WY,WY2_7,2.5,2.3,17.4,18.1,Y
WY,WY2_8,2.7,2.4,19.4,19,N
WY,WY2_9,2.6,2.6,20,17.8,N
WY,WY4_1,2.6,2.5,22.5,18.8,N
WY,WY4_2,2.5,2.6,18.8,18.2,N
WY,WY4_3,2.5,2.5,18.9,19.2,N
WY,WY4_4,2.4,2.5,15.5,14.6,N
WY,WY4_5,2.6,2.6,20.7,18.1,N
WY,WY4_6,2.4,2.5,16.5,16.1,N
WY,WY4_7,2.5,2.6,19.1,19,N
WY,WY4_8,2.5,2.6,19.8,17.6,N
WY,WY4_9,2.6,2.5,22.6,14.9,N
WY,WY4_10,2.5,2.6,19,16.4,N
WY,WY6_1,2.6,2.4,19.5,18.5,N
WY,WY6_2,2.5,2.5,13.6,19.8,N
WY,WY6_3,2.6,2.6,16.7,17.3,N
WY,WY6_4,2.5,2.6,17.6,16.7,N
WY,WY6_5,2.5,2.5,18.5,19.6,N
WY,WY6_6,2.7,2.6,23.9,17.8,N
WY,WY6_7,2.5,2.6,22,16.8,N
WY,WY6_8,2.6,2.5,14.1,21,N
WY,WY6_9,2.4,2.5,13.3,18.6,N
WY,WY13_1,2.6,2.4,22.2,16.1,N
WY,WY13_2,2.5,2.6,19.4,17.6,N
WY,WY13_3,2.6,2.6,21.6,21.2,N
WY,WY13_4,2.5,2.5,22.3,18.1,N
WY,WY13_5,2.7,2.6,19.7,20.7,N
WY,WY13_6,2.7,2.6,18.6,17.9,N
WY,WY13_7,2.6,2.8,20.4,25.3,N
WY,WY13_8,2.5,2.6,20.6,17.5,N
WY,WY13_9,2.6,2.5,16.3,15.5,N
WY,WY17_1,2.5,2.5,18.2,14.6,N
WY,WY17_2,2.4,2.6,16.1,17.1,N
WY,WY17_3,2.4,2.6,15.1,13.4,N
WY,WY17_4,2.5,2.6,15.6,16.9,N
WY,WY17_5,2.6,2.6,21.7,18.3,N
WY,WY17_6,2.5,2.6,17.9,20.3,N
WY,WY17_7,2.6,2.5,19.7,17.3,N
WY,WY17_8,2.5,2.5,17.5,21.3,N
